YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1986,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,25.33,999.90,999.90,27.60,999.90,999.90,999.90,999.90,999.90
1987,28.24,999.90,28.43,29.46,28.38,26.72,25.99,999.90,999.90,999.90,999.90,27.58,28.12,28.76,26.07,999.90,27.53
1988,27.48,999.90,999.90,999.90,999.90,999.90,24.88,24.27,999.90,999.90,26.67,26.91,27.73,999.90,24.96,999.90,999.90
1989,26.16,28.08,27.53,27.95,26.80,25.90,24.99,24.46,25.05,25.89,27.81,27.58,27.05,27.43,25.12,26.25,26.46
1990,26.87,27.35,28.79,27.36,26.81,26.22,24.18,24.03,999.90,26.38,27.37,27.07,27.27,27.65,24.81,26.44,26.54
1991,28.00,27.91,999.90,27.25,27.05,26.41,24.97,24.52,25.92,25.83,27.18,999.90,27.66,27.34,25.30,26.31,26.65
1992,27.05,28.20,28.01,999.90,999.90,999.90,999.90,24.37,999.90,26.55,999.90,27.31,27.55,999.90,999.90,999.90,999.90
1993,999.90,28.14,999.90,999.90,999.90,26.52,24.65,24.62,25.75,999.90,27.46,27.55,27.60,999.90,25.26,26.58,26.85
1994,27.44,27.93,28.27,28.33,999.90,999.90,24.63,24.64,25.14,26.13,27.91,999.90,27.64,28.03,25.02,26.39,26.77
1995,999.90,999.90,27.69,28.31,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.73,999.90,999.90,999.90
1996,999.90,999.90,999.90,999.90,999.90,999.90,25.22,24.31,999.90,999.90,999.90,999.90,999.90,999.90,25.15,999.90,999.90
1997,27.03,999.90,27.25,27.09,26.63,25.28,24.85,24.70,26.70,26.87,27.62,999.90,999.90,26.99,24.94,27.06,26.62
1998,999.90,29.14,29.88,29.54,27.80,26.67,25.35,999.90,25.75,26.71,27.95,27.70,999.90,29.07,25.73,26.80,27.49
1999,27.34,27.70,28.37,999.90,27.81,999.90,999.90,999.90,999.90,999.90,999.90,999.90,27.58,28.17,999.90,999.90,999.90
2000,27.61,999.90,999.90,999.90,999.90,26.07,24.97,999.90,999.90,999.90,999.90,27.48,999.90,999.90,25.24,999.90,999.90
2001,27.37,28.17,28.14,28.13,27.71,999.90,24.97,24.45,999.90,999.90,999.90,999.90,27.67,27.99,25.10,999.90,26.80
2002,27.26,28.06,999.90,28.06,27.96,999.90,999.90,999.90,25.96,26.81,27.71,27.80,27.59,28.20,999.90,26.83,27.00
2003,28.10,28.30,29.15,27.98,28.04,26.00,25.75,25.15,26.25,27.25,27.65,28.04,28.07,28.39,25.63,27.05,27.28
2004,28.24,28.74,29.44,28.49,27.43,26.04,25.39,24.99,26.39,26.74,28.09,28.23,28.34,28.45,25.47,27.07,27.33
2005,27.73,29.28,28.58,28.63,27.73,25.88,25.48,24.83,26.33,26.95,27.83,27.93,28.41,28.31,25.40,27.04,27.29
2006,28.23,28.73,28.58,28.90,27.33,26.83,26.03,25.28,25.98,26.98,28.13,27.87,28.30,28.27,26.05,27.03,27.41
2007,27.82,28.52,28.67,28.82,28.22,26.12,25.17,25.57,25.87,26.77,999.90,999.90,28.07,28.57,25.62,26.78,27.26
2008,999.90,999.90,999.90,999.90,999.90,26.31,26.06,25.61,26.16,999.90,28.11,28.15,999.90,999.90,25.99,27.11,999.90
2009,26.80,28.65,999.90,28.10,28.00,26.66,25.35,25.22,26.40,27.13,28.07,28.64,27.87,28.24,25.74,27.20,27.26
2010,28.64,29.69,29.59,29.74,28.59,26.64,25.74,25.79,26.04,26.84,27.69,28.28,28.99,29.31,26.06,26.86,27.80
2011,28.33,27.71,29.17,28.75,27.71,26.26,25.51,24.91,25.76,26.68,28.01,27.90,28.11,28.54,25.56,26.82,27.26
2012,28.40,27.95,29.15,28.01,27.24,999.90,999.90,999.90,26.20,999.90,999.90,27.81,28.08,28.13,999.90,999.90,999.90
2013,27.93,28.36,29.65,28.60,27.00,26.15,25.01,25.40,25.90,27.50,999.90,999.90,28.03,28.42,25.52,27.16,27.28
2014,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
2015,999.90,999.90,999.90,999.90,999.90,26.27,25.69,25.60,25.96,27.04,27.79,28.31,999.90,999.90,25.85,26.93,999.90
2016,28.63,29.21,28.80,29.15,28.29,26.46,25.96,25.38,27.31,27.46,999.90,999.90,28.72,28.75,25.93,27.84,27.81
2017,28.23,28.59,28.81,28.69,28.65,26.90,25.70,25.09,25.73,27.42,999.90,27.82,28.34,28.72,25.90,27.03,27.50
2018,27.89,28.73,28.82,28.76,27.51,26.77,26.09,25.59,26.40,27.39,28.30,28.95,28.15,28.36,26.15,27.36,27.51
2019,28.83,29.06,29.23,29.06,27.92,26.66,25.97,26.38,26.33,26.56,28.19,28.83,28.95,28.74,26.34,27.03,27.76
2020,28.70,29.59,28.93,28.86,28.62,26.87,25.78,25.48,25.90,26.88,28.11,28.49,29.04,28.80,26.04,26.96,27.71
2021,28.41,28.90,28.76,29.48,28.82,27.59,26.32,26.30,26.60,27.29,28.02,29.20,28.60,29.02,26.74,27.30,27.91
2022,28.75,28.92,29.36,28.10,28.12,26.63,25.80,24.89,25.44,27.07,28.01,28.38,28.96,28.53,25.77,26.84,27.52
2023,28.59,29.00,28.65,28.99,28.75,26.64,26.43,25.80,26.30,999.90,999.90,999.90,28.66,28.80,26.29,999.90,27.79
